num_qubits,k,cost_with_mems,cost_without_mems,i_with_mems,i_without_mems
4,2,0.0009179384791869927,0.0009321095037684835,68.64,70.72
4,3,0.0009053911241728229,0.0009153890944913634,66.8,71.72
4,4,0.0009218464578111263,0.0009277399546310639,67.16,71.08
4,5,0.0009193309995063848,0.0009248494926176276,68.96,71.24
4,6,0.0009076022279107976,0.0009217885990924302,62.76,75.44
4,7,0.0008801879860606343,0.0009094221613139153,63.28,73.68
4,8,0.000915803217493134,0.0009302497392317255,68.32,72.84
4,9,0.0009210915421558319,0.0009286289108019874,63.16,73.8
4,10,0.0009065543450505276,0.0009221985562267943,64.36,73.08
4,11,0.0008865458883449362,0.000929789698025556,64.68,71.88
4,12,0.0009364998285031411,0.0008919471153474579,72.6,68.28
4,13,0.0009111827445869381,0.0008986491253643747,65.44,71.44
4,14,0.0009071366251040481,0.0009171366146576121,62.84,70.88
4,15,0.0009295933024419645,0.0008918182292057209,66.56,69.88
4,16,0.0008958211316131237,0.0009232001583864857,64.2,75.0
4,17,0.0009284305849184981,0.0009154823558411484,63.52,71.0
4,18,0.0009135761322141711,0.0009106114457488745,63.76,71.76
4,19,0.0009181644983142113,0.0009323080081825497,65.44,72.28
